[-0.34796753  1.28843049 -0.19118626 -1.01138847  0.13101413 -0.89484858] -288.52952248070915
[ 1.03205104 -1.37600613  1.66366864  0.8398126   1.06137647 -0.79416613] -281.9934151722946
[ 1.00758917 -0.10330455 -0.32793217 -0.85449876  0.10687978  1.02544872] -281.814091332734
[ 1.081255    0.93580111 -0.13428875  0.78912926 -0.66480445 -1.13781268] -276.8029138453097
[ 0.58360342  0.78517261 -1.36930808 -2.30192498  0.68961983  0.28287788] -291.874111599693
[-1.96263611  0.17113375 -0.1332012  -2.54898556 -0.317498   -0.18418758] -317.70998824671085
[ 0.15912952 -0.28266513  0.36679145  0.0754792   0.69226389 -0.24089202] -285.06443866358836
[ 3.13452299  0.24467572  0.13578281  1.72785517  0.98961455 -0.40227669] -266.8626365141007
[ 5.68310254  0.28144671  0.27027481  3.86627554  1.64317083 -0.51132125] -282.3812935681095
[ 1.43858997 -0.54952877  1.87358665  2.82405465  0.08249497 -1.09772701] -279.35538318849456
[ 2.9656801  -1.66543974  1.38372247  2.81199917  0.62492761  0.01237331] -268.1653233142939
[ 3.3940999  -0.55526899  1.16472177  2.63730483  0.04123242 -0.55716148] -270.75190255946075
[ 3.308528    0.81165106 -0.29847104  2.47213551 -0.66792818  0.07511418] -279.0804922592195
[ 4.09996949 -0.15606532  1.70295014  5.27532496  0.02829919 -2.06127884] -348.3389648509098
[ 1.78068425 -0.11649474  0.17978841  0.67795717  0.08723464  0.25376683] -271.6276635388806
[ 3.78300011  0.43450357 -1.0631681   0.88140572  0.05426389  0.51239483] -271.86336133158716
[ 2.07121945 -1.05239208  0.85399058  0.7030816   1.04541773 -0.51468614] -276.8073600780919
[ 2.38054659 -0.5863813   0.56587517  1.14534508  0.61708125 -0.36723606] -269.8031403249575
[ 4.73158964 -1.68393627  0.92319626  2.50482646  1.46958924  0.9550996 ] -271.8493057474687
[ 2.34604105 -1.88878535  2.51419706  2.95369024  1.22229601 -0.54753966] -272.61826900552916
[ 3.42376034 -0.14631866 -0.16882681  1.39947685  0.34627192  0.24741121] -267.85532863037736
[ 0.96150842  0.7421937   0.16382501  0.96181963 -0.56746844 -1.22614056] -277.15563040551126
[ 3.78906933 -1.07740378  0.73335345  2.11907475  0.96032482  0.40978956] -267.6588877422625
[ 4.5818755  -1.14555084  1.09175455  3.26906145  1.10591622 -0.47280021] -269.7012368129356
[ 3.36438505 -0.9035372   0.08249878  1.52029933  1.50681304  0.36624851] -275.23177718811075
[ 3.38667119 -0.64233605  0.89416602  2.35805345  0.40762757 -0.32630898] -266.7455852904023
[ 4.71331323 -0.89107648  0.79077566  3.41649521  0.86114631  0.18996546] -272.72686930933656
[ 2.96373825 -0.66255509  0.62210029  1.71313261  0.67809752 -0.22793568] -267.11863003069095
[ 1.97260523 -0.17090836  0.10834487  0.77413589  0.22970511  0.37715112] -271.295262035686
[ 3.92955793 -0.90189022  0.84590213  2.64533006  0.88686344 -0.26031238] -266.3882285111724
[ 3.91009324  0.60349705 -0.36289651  1.17564179  0.79800567 -0.19891763] -269.73299302726593
[ 3.20178339 -1.09820554  0.94706773  2.40290983  0.66819712 -0.04044942] -266.45235213788567
[ 3.37802068 -1.23291966  1.56161762  2.92264177  1.18396975 -0.52990907] -266.69037605752095
[ 2.87569548 -0.35367317  0.93552542  2.47089955  0.64446517 -1.0055203 ] -266.98210581948405
[ 3.67167897 -0.66556121  1.15125361  3.12943067  0.91548169 -0.62698994] -267.8636149166336
[ 3.14072343 -0.66330662  0.75438862  2.06720712  0.73744356 -0.32769924] -266.1579270105071
[ 3.84806439 -1.07765429  0.77744956  2.23709959  0.98010683  0.37653504] -267.2763574187141
[ 3.1187877  -0.53466845  0.89600645  2.41244956  0.72837559 -0.66000647] -266.07946033073557
[ 3.58399179 -1.93578457  1.83060005  3.20834209  0.54787779 -0.3126185 ] -270.65965918168905
[ 3.24689019 -0.30043935  0.55948712  2.0979769   0.87918036 -0.37986214] -265.7967938165069
[ 3.28524992 -0.93480724  0.9606572   2.49145163  1.28704904 -0.40643727] -266.4656155713974
[ 3.26297684 -0.24485281  0.09288547  1.78313326  0.54506662 -0.1616799 ] -266.37127248863453
[ 3.34832324 -0.31298043  0.40458864  1.97821728  0.19465986 -0.20356592] -266.86316292160797
[ 3.30101825 -0.77935054  0.82164006  2.36314304  1.01395174 -0.35571943] -265.94974247666624
[ 3.46486806 -0.04329712  0.37636889  2.05350349  0.92876332 -0.67464376] -265.72255797044096
[ 3.5964104   0.48415709  0.09101947  1.87880032  1.05904641 -0.99174093] -266.31635956943535
[ 2.58219689  0.04658525  0.32102341  1.61380773  0.72406362 -0.59289127] -267.32316781034734
[ 3.59271767 -0.66477135  0.71468245  2.38744948  0.84616349 -0.3434571 ] -265.7822513997394
[ 3.3586916  -0.750425    1.28130573  2.67744327  1.16622607 -0.75211615] -265.9985439103293
[ 3.55360106 -0.36101065  0.79544161  2.59678146  1.11677663 -0.72756911] -265.48913650302205
[ 3.76003988 -0.20986266  0.8159681   2.86156862  1.30644316 -0.92750404] -265.80178274473485
[ 3.72047457 -0.43176288  0.62030217  2.31298299  1.25531162 -0.41778276] -265.97506566024214
[ 3.601165   -0.10978563  0.01466836  1.92650251  0.84715632 -0.21422862] -266.37001766124075
[ 3.41930995 -0.59026516  0.96464639  2.48970808  1.08645863 -0.61764427] -265.6451761291713
[ 3.13899382 -0.48128184  0.79045334  2.34987116  0.70178644 -0.61518251] -265.9677242788202
[ 3.28436401 -0.4689021   0.74791554  2.34064912  0.84016773 -0.56583257] -265.6709309373996
[ 3.55289873 -0.03021137  0.56454061  2.29221313  0.88521831 -0.74728355] -265.5572636747249
[ 3.70902964 -0.41904656  0.82837804  2.62212468  1.02200234 -0.84561464] -265.8284935257428
[ 3.36242505 -0.33009115  0.62670985  2.22901385  0.91488586 -0.49630027] -265.58417005843614
[ 3.28643795  0.0568455   0.64385851  2.27984023  1.07792667 -0.93296741] -265.60170515356157
[ 3.35481086 -0.53124785  1.07133528  2.6892318   1.04504796 -0.68788863] -265.8441335521928
[ 3.43735376 -0.1652848   0.55011049  2.21243557  0.95783448 -0.67795498] -265.5340622595187
[ 3.58631149 -0.00443711  0.63385361  2.35934832  1.17286579 -0.83407396] -265.44899388676095
[ 3.73728523  0.22779538  0.57682264  2.36869792  1.33921482 -0.96819465] -265.6035111946412
[ 3.50703273  0.31220196  0.3068585   2.1668361   0.95537728 -0.85440549] -265.605176245317
[ 3.48510204  0.08658518  0.47130547  2.2475541   0.98814762 -0.79521518] -265.4829176886739
[ 3.7061261  -0.32499547  0.5701287   2.36594191  0.93398289 -0.49316494] -265.61173293697976
[ 3.39135999 -0.03861474  0.62542606  2.30136565  1.04194073 -0.82301679] -265.4826219937179
[ 3.63978397  0.15909999  0.58684943  2.44088556  1.13937533 -1.03873759] -265.5824442957683
[ 3.57044424  0.0368022   0.59681453  2.38791763  1.08325296 -0.90312826] -265.47583961030676
[ 3.45515879 -0.11844193  0.65977665  2.40958778  1.23505442 -0.83970254] -265.50792683761125
[ 3.57663878  0.03224579  0.71076216  2.55508274  1.2548449  -0.96294697] -265.4681186219404
[ 3.59932707  0.03563216  0.61809116  2.40642886  0.98422179 -0.84228088] -265.55541880099105
[ 3.49120086 -0.07992341  0.64935528  2.40879805  1.17234626 -0.84034712] -265.44141372353437
[ 3.48008474  0.37189661  0.43373076  2.15657404  1.12102279 -0.99200699] -265.6710877470751
[ 3.53522198 -0.17778383  0.7050139   2.4867296   1.11783817 -0.79367858] -265.42671485176874
[ 3.56529041 -0.16382222  0.8357697   2.58552657  1.29288198 -0.92384871] -265.47942168766764
[ 3.71700927 -0.08035812  0.75176367  2.62643532  1.32273596 -0.92965774] -265.47606772201516
[ 3.5936518   0.07267072  0.51341801  2.35591066  1.08174603 -0.83076217] -265.45373469190025
[ 3.40081378  0.04021624  0.51797549  2.22482701  0.97156207 -0.79198794] -265.4977455179683
[ 3.6379604  -0.05021453  0.69331662  2.52603324  1.23494249 -0.89524029] -265.4354649352674
[ 3.56988419 -0.10594966  0.70509199  2.50938324  1.26160826 -0.8158881 ] -265.40542323301634
[ 3.56960417 -0.17732559  0.75923072  2.57011604  1.35078591 -0.77226802] -265.43264936793867
[ 3.56143813 -0.1474584   0.58925431  2.32698496  1.09227076 -0.70704977] -265.46194474060394
[ 3.56523829 -0.10253235  0.61963127  2.3840094   1.1329143  -0.77102407] -265.42505309635516
[ 3.53495394 -0.24628435  0.82200288  2.5355233   1.28242573 -0.81932187] -265.4733901705936
[ 3.57897733 -0.00706805  0.59056423  2.40081382  1.13191595 -0.82790209] -265.42166183826913
[ 3.53984953 -0.1700535   0.68713749  2.54590746  1.17765602 -0.8139528 ] -265.4186879935433
[ 3.65117638 -0.12461056  0.68422989  2.54216088  1.17994547 -0.79888152] -265.42014934394984
[ 3.50882217 -0.17911812  0.63723963  2.43030156  1.0990169  -0.71186876] -265.40177894585713
[ 3.44425306 -0.24356991  0.60920113  2.38243571  1.0310541  -0.620183  ] -265.4302757174264
[ 3.60276065 -0.05199358  0.60295093  2.45079585  1.20984746 -0.78616054] -265.397032486769
[ 3.63652999  0.01090154  0.55191945  2.43282897  1.25585211 -0.78240152] -265.4214633217004
[ 3.5852518  -0.11039881  0.68277345  2.5757782   1.22041572 -0.81386053] -265.399790071307
[ 3.57360424 -0.24030669  0.7425769   2.61729524  1.25091399 -0.75230199] -265.3986116287465
[ 3.47554782 -0.16132956  0.66836024  2.50099297  1.22654065 -0.76579605] -265.4143602102019
[ 3.56544076 -0.11297864  0.65919356  2.48227489  1.24512497 -0.73467253] -265.38550800544715
[ 3.57823638 -0.08444122  0.64522159  2.4504586   1.27885945 -0.6950324 ] -265.41514302255473
[ 3.65970679 -0.10558561  0.67491524  2.52095002  1.20243512 -0.77245476] -265.3934052711287
[ 3.59531128 -0.16084416  0.62812458  2.51641535  1.14764313 -0.70788494] -265.3807563517831
[ 3.60802482 -0.1882914   0.58964088  2.5199314   1.09066057 -0.65388335] -265.40891146432085
[ 3.685203   -0.08158438  0.69293859  2.62420162  1.32644323 -0.81057633] -265.3910955512943
[ 3.64209045 -0.14069888  0.65079315  2.49486613  1.24038691 -0.70748983] -265.3825819296828
[ 3.67656674  0.02241161  0.56039512  2.41253937  1.20637962 -0.75411099] -265.4144715236848
[ 3.59934487 -0.17462712  0.69703145  2.56610628  1.2397804  -0.75275424] -265.37841964239504
[ 3.64627173 -0.20677935  0.73138126  2.61747558  1.25742379 -0.70911701] -265.37248176945025
[ 3.66802726 -0.28417223  0.79559642  2.70081544  1.28121195 -0.67059524] -265.3997247158418
[ 3.58484724 -0.18691857  0.67823896  2.57949659  1.28316569 -0.7017102 ] -265.36447645888023
[ 3.54741746 -0.22758504  0.67990081  2.60876988  1.32353098 -0.66633791] -265.3820996766472
[ 3.5258991  -0.24603119  0.65531573  2.46134331  1.14473173 -0.62729991] -265.391147363093
[ 3.64537703 -0.12269608  0.68353288  2.58348705  1.28101536 -0.76475723] -265.3719716636002
[ 3.67230676 -0.21787607  0.69717387  2.63700743  1.23801346 -0.71323195] -265.39808307630705
[ 3.59215726 -0.139203    0.66868864  2.52095803  1.24334709 -0.72931238] -265.3697548696648
[ 3.57901269 -0.18965721  0.71153943  2.63311349  1.24373824 -0.74768883] -265.3881670913229
[ 3.62632101 -0.15293846  0.66597972  2.52942797  1.24122475 -0.71753958] -265.36958229018205
[ 3.63612843 -0.1668767   0.74682639  2.61590182  1.3676759  -0.75051194] -265.391661011853
[ 3.60551557 -0.16235229  0.65780003  2.54128696  1.20265132 -0.71854169] -265.368516999056
[ 3.63415174 -0.14900213  0.66484237  2.55793778  1.26316227 -0.69423846] -265.35381627604124
[ 3.65155518 -0.13618964  0.64874783  2.55385354  1.27485321 -0.66498056] -265.3469943647024
[ 3.58898603 -0.09332     0.60294809  2.48536113  1.25132868 -0.72316354] -265.37910629912477
