[-1.00676076e+00 -1.87850096e-04 -3.19858895e-01 -3.21660871e+00
  5.67268357e-01  6.76094310e-01] -276.0655514745851
[-2.45746033  0.2080885  -0.37083309 -1.08795088 -0.64782282 -0.84514984] -326.8598334073365
[1.38330897 1.37080136 2.18053789 1.55370343 0.44363184 0.41955078] -282.31838706942887
[-0.91573393  0.54301194  0.07265555 -1.06870516 -0.36790191 -1.31939902] -290.28891275617406
[-1.01727941  1.64152162  0.13211466  1.52917194  1.24636756 -0.29779357] -285.93842587267955
[ 0.44864641  1.79976935 -1.06144772 -0.52854499 -0.01784353  0.824449  ] -262.8576125896437
[ 1.04926664  0.75246689  0.06100776  0.93491691  0.54592137 -0.3667817 ] -264.19635295962655
[2.43794297 1.82770594 0.72583618 0.82259535 1.45363739 0.82385644] -247.89900704745435
[4.88564462 2.63751465 1.27417082 1.77786846 2.50436749 1.65835958] -266.3753620619302
[2.01410887 1.92101383 0.50007441 1.43378313 1.78089624 2.01252411] -253.93191673433316
[ 3.12611711  0.91566822  0.56326855 -1.19589023  0.34480299  1.76102455] -242.36380290735414
[ 5.19781537  0.55274152  0.77884549 -2.55842131 -0.10597929  2.79043361] -261.1046126450393
[ 1.30646478  1.03467744 -2.02424446 -2.13695294  1.11459577  1.49083812] -232.8450930989785
[ 1.26804269  0.86661548 -4.12663564 -3.98228112  1.45007773  2.02648179] -247.35511264387412
[ 4.46760969  2.75062174 -0.0919762   2.99324446  1.17340172  1.50587586] -335.0988279050164
[ 0.36183185  0.68751455 -0.26288822 -1.66414542  0.7188017   0.8835397 ] -240.1110814808307
[ 2.18243736  1.97631622 -0.58080818 -2.02463528  1.25237548  2.96552568] -230.4012310264257
[ 2.74902272  2.58824088 -0.90171615 -3.50441137  1.60560253  4.63167936] -236.41438929326154
[ 3.3609879   0.98786271  0.70186047 -1.05987014  2.23954672  2.4879872 ] -228.35899223424428
[ 4.81715864  0.58190939  1.58351457 -1.32553272  3.36824184  3.31975629] -246.9487685034331
[ 2.24448512  0.55556786 -0.79239963 -3.85341602  0.59369044  1.45839978] -251.24321145061856
[ 2.18689106  0.89692935 -0.46928112 -2.53161623  0.89049189  1.59693086] -232.54388477897373
[ 1.73696705  0.33861689 -1.41653384 -4.36029876  0.73323413  2.90475893] -258.57407429533714
[ 2.26269899  1.45543368  0.19024368 -0.47312818  1.27353657  1.34408206] -233.59350037033633
[ 0.76098687  1.43057643 -1.37830783 -2.1008925   2.15164638  1.82860999] -225.29497966285336
[-0.42157825  1.68803053 -2.34909601 -2.55339363  3.05506807  1.86240271] -232.94398100705322
[ 3.6583238   1.90641739 -0.92395759 -1.77821967  2.25526257  3.02111827] -235.36507205276726
[ 2.83420081  1.60169168 -0.75869025 -1.7497011   1.87114735  2.48672363] -228.39948213920843
[ 1.94795727  1.18725093 -1.6934008  -3.39476122  1.89973129  2.94145643] -228.12115023452665
[ 3.11802231  1.658865    0.63136856 -2.15020588  2.32038394  3.27823981] -228.97794550645747
[ 2.54797312  2.05059164 -0.55671155 -1.62840581  3.0211185   3.73258338] -238.58912087230112
[ 2.27716157  1.18534492 -0.49113873 -2.30581362  1.42314854  2.13084399] -226.32073178766154
[ 2.58400155  0.70754767 -0.41529468 -2.22911288  2.71615926  2.08576134] -225.53376183123933
[ 1.47040968  0.70789311 -1.97635916 -2.1298446   1.78007591  1.37555439] -226.0653999103334
[ 1.29963413  0.46713358 -0.99218999 -2.65706388  2.19895535  1.79668082] -221.15206206160724
[ 0.53235079 -0.10014547 -1.10893986 -3.11074527  2.36285934  1.45165941] -221.32312986991374
[ 0.08572913  0.90738617 -3.0174242  -3.87929276  1.81702553  1.56498179] -239.47119229307168
[ 2.54217321  0.96774358 -0.2279607  -1.76472579  2.13391642  2.25723584] -224.54121704675686
[ 1.69683174  0.63482883 -0.1336829  -1.00105654  2.23490266  0.88343903] -223.42585123879007
[ 1.17418415  0.45322948 -1.21679302 -1.65508511  2.98207012  1.27824981] -225.53025140721877
[ 1.8821942   0.84579341  0.52161613 -1.67280097  3.02580748  2.00110455] -225.77679621145137
