[-0.49456381 -1.14827022 -0.18014908  0.78309534 -1.22258066  0.29061069] -281.84964495714064
[ 1.46573468  0.89013494 -1.09685067 -0.33207004  0.19326379  0.69830929] -250.3330264606834
[ 1.35879937 -0.27730354  2.04648296  2.03335978  0.3275155  -0.53441039] -277.28822897378063
[ 1.38216586 -0.56258735 -1.28796554 -1.30956365 -0.75732691  0.57200173] -250.35245591405544
[ 2.03325226  0.56807095 -1.21480267  0.90554752  1.79493886 -1.50939062] -262.4023778605892
[ 1.38881714  0.75999495 -0.67090624  1.55222557  1.03538985 -0.62803222] -268.7325943884849
[ 0.85620684  0.12151565 -0.59200117 -0.59787006 -0.05289912  1.01384075] -247.32353586837127
[ 3.32288919  1.64821208 -0.75853203 -0.0325523   2.06954131 -0.41983784] -262.56141456341294
[ 2.12422261  1.41908395 -3.92016907 -1.9714541   1.10012042  0.44337408] -256.09654789095725
[ 2.33934     0.60148179 -2.28586748 -2.66487978  0.41382293  0.89413135] -244.22617066493794
[ 2.81460143  0.52222521 -3.09334811 -4.77343246  0.10303948  1.65521313] -264.6469954775862
[ 0.07741823 -0.63564544 -2.7073535  -1.9575444  -1.17223465  1.1239267 ] -269.13658430893685
[ 2.51152145  1.0772477  -1.2457374  -0.51380033  1.25909732 -0.03389671] -251.2758263190896
[ 1.52647823  0.61422127 -2.26139444 -3.36876017 -1.07624605  2.70531078] -265.91218158190446
[ 1.90655875  0.57960853 -1.47645061 -0.1630294   1.07714263 -0.45571527] -250.8773129251352
[ 1.36295325 -0.51661686  1.25854477  0.11104968 -0.38908688  0.45284963] -252.77827130978997
[ 1.55327059 -0.03269166 -0.03613369 -0.40957627 -0.01678505  0.45048074] -246.0509731607172
[ 0.65623746 -0.5447604  -1.01268566 -1.31186274 -0.9733579   1.09157957] -255.54235113389248
[ 2.04770045  0.67174568 -1.18747446 -0.71331593  0.70098351  0.24747236] -246.01025201269215
[ 1.30824739 -0.01640885 -0.68564706 -1.84606251 -0.91678958  1.74779401] -251.2237107758034
[ 1.75698091  0.43060419 -1.27874973 -0.58378768  0.57865958  0.09516205] -246.1098885523019
[ 1.95757863  1.45685088 -0.87106019 -0.45760293  1.36300879  0.56113046] -253.13929758075602
[ 1.52601905 -0.0577278  -1.18373921 -1.09657347 -0.22724299  0.56928391] -245.0475252986717
[ 1.89410461 -0.31182566 -1.09113791 -1.68993103  0.27224917  0.39181443] -239.35946593675115
